"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-01","14.32","0.10","58","61","54","  270","  260","31.1","36.9","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-02","5.59","0.03","54","58","46","  240","  290","14.1","19.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-03","12.30","0.05","53","58","50","   90","  110","21.0","27.1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-04","10.51","0.54","58","61","57","   90","  170","16.1","25.9","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-05","12.97","1.07","58","62","55","  140","  140","25.1","33.1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-06","4.70","0.00","55","62","46","  270","  270","14.1","16.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-07","4.92","0.00","57","68","48","  270","   10","12.1","17.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-08","4.70","0.00","56","63","48","  260","  220","12.1","13.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-09","11.18","1.04","57","60","53","  150","  140","21.0","30.0","    1",,"    1","    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-10","12.08","0.65","59","62","54","  260","  210","30.0","42.9","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-11","4.25","0.00","55","61","47","  270","  290","10.1","14.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-12","6.71","0.00","58","72","51","   50","  310","13.0","16.1",,,,
